iteration	time	f_value	arclength
1.830000000000000000e+02	5.426972188858916746e-02	2.078039297747254210e-02	4.740183891945977065e-04
1.840000000000000000e+02	5.618011679391241020e-02	2.073755306986809974e-02	5.077449876340906897e-04
1.850000000000000000e+02	5.815776114454845880e-02	2.069175374046198015e-02	5.438533208338630154e-04
1.870000000000000000e+02	6.232435073630857719e-02	2.059048111311943124e-02	6.238884545117740973e-04
1.880000000000000000e+02	6.451828352204597161e-02	2.053458014654047786e-02	6.681803480168313795e-04
1.890000000000000000e+02	6.678944681257746596e-02	2.047486341149282185e-02	7.155855681476449518e-04
1.900000000000000000e+02	6.914055926496939786e-02	2.041108500881603366e-02	7.663183443085582174e-04
1.910000000000000000e+02	7.157443523806100716e-02	2.034298536379629263e-02	8.206069607141303025e-04
1.930000000000000000e+02	7.670223402243646349e-02	2.019271316103134206e-02	9.408400681006328509e-04
1.940000000000000000e+02	7.940229497731272901e-02	2.010994948212497385e-02	1.007318924656965247e-03
1.950000000000000000e+02	8.219740308763327785e-02	2.002168174463436409e-02	1.078424140320039578e-03
1.960000000000000000e+02	8.509090418962504676e-02	1.992757671229321292e-02	1.154467154381379158e-03
1.970000000000000000e+02	8.808626189915833016e-02	1.982728587975698606e-02	1.235778803018636055e-03
1.990000000000000000e+02	9.439701552486744196e-02	1.960667708121237307e-02	1.415634158467434737e-03
2.000000000000000000e+02	9.771996562044087120e-02	1.948558728750414415e-02	1.514945287003177047e-03
2.010000000000000000e+02	1.011598897249517126e-01	1.935676909950042462e-02	1.621061849693514146e-03
2.020000000000000000e+02	1.047209055405541878e-01	1.921980244696167017e-02	1.734426280399005947e-03
2.030000000000000000e+02	1.084072757201584442e-01	1.907425544783199201e-02	1.855506197435550370e-03
2.050000000000000000e+02	1.161738853316259534e-01	1.875564335940380425e-02	2.122814100265058620e-03
2.060000000000000000e+02	1.202634216503262604e-01	1.858167115917130907e-02	2.270110818706027114e-03
2.070000000000000000e+02	1.244969172353817405e-01	1.839730959139038169e-02	2.427261836049564216e-03
2.080000000000000000e+02	1.288794397200773989e-01	1.820209914909696330e-02	2.594872254524056582e-03
2.090000000000000000e+02	1.334162351277930481e-01	1.799558459234548713e-02	2.773576185987845603e-03
2.110000000000000000e+02	1.429745586553037295e-01	1.754687262938785242e-02	3.166946385008793420e-03
2.120000000000000000e+02	1.480075284023508742e-01	1.730383250027789019e-02	3.383025431183292204e-03
2.130000000000000000e+02	1.532176680229262178e-01	1.704781636481818297e-02	3.613022246940985477e-03
2.140000000000000000e+02	1.586112142253079671e-01	1.677847753864579808e-02	3.857711476042494699e-03
2.150000000000000000e+02	1.641946232614777679e-01	1.649551480801026565e-02	4.117892384436253397e-03
2.170000000000000000e+02	1.759579992037507146e-01	1.588780313192969529e-02	4.688034716894403861e-03
2.180000000000000000e+02	1.821520472572824567e-01	1.556277752819439433e-02	4.999693295456163374e-03
2.190000000000000000e+02	1.885641372950552230e-01	1.522360092904125224e-02	5.330229431842904014e-03
2.200000000000000000e+02	1.952019447994806089e-01	1.487037649794083552e-02	5.680515495607381220e-03
2.210000000000000000e+02	2.020734154441926611e-01	1.450333125210500826e-02	6.051422276858300052e-03
2.230000000000000000e+02	2.165505372073316115e-01	1.372940515339526532e-02	6.858523626579831473e-03
2.240000000000000000e+02	2.241735179160809777e-01	1.332374854442178874e-02	7.296372361734491073e-03
2.250000000000000000e+02	2.320648416898504485e-01	1.290675409496657919e-02	7.758126435327901936e-03
2.260000000000000000e+02	2.402339547024263389e-01	1.247952154970697995e-02	8.244497780138469387e-03
2.270000000000000000e+02	2.486906356504388627e-01	1.204337417007242221e-02	8.756124395319805215e-03
2.290000000000000000e+02	2.665075493980970101e-01	1.115082042783919515e-02	9.857211134202676153e-03
2.300000000000000000e+02	2.758891096287819922e-01	1.069827852024104846e-02	1.044739767676606569e-02
2.310000000000000000e+02	2.856009181866182023e-01	1.024455651207570317e-02	1.106424334761797745e-02
2.320000000000000000e+02	2.956546004254816951e-01	9.792210346363114382e-03	1.170768964953897671e-02
2.330000000000000000e+02	3.060621909332747470e-01	9.344026102181157700e-03	1.237745734809311306e-02
2.350000000000000000e+02	3.279893682192831506e-01	8.472273768884595532e-03	1.379354269985812176e-02
