iteration	time	x1	x2	radius	f_value	arclength
9.400000000000000000e+01	2.496484543038644203e-03	3.999899671121635858e-02	1.999988787555887979e-02	4.472041203900992828e-02	2.138747905812395794e-02	1.007914843808655865e-06
9.500000000000000000e+01	2.584365431059963691e-03	3.999892483377853053e-02	1.999987984261568374e-02	4.472034415763512932e-02	2.138738533882933446e-02	1.080239763916742889e-06
9.700000000000000000e+01	2.769516817469006194e-03	3.999876526196446264e-02	1.999986200897697561e-02	4.472019345731697432e-02	2.138717727787502534e-02	1.240805020282026653e-06
9.800000000000000000e+01	2.867008948148458067e-03	3.999867680338162201e-02	1.999985212286438038e-02	4.472010991665630736e-02	2.138706193992799195e-02	1.329814321883991455e-06
1.000000000000000000e+02	3.072409730567645346e-03	3.999848042066951603e-02	1.999983017506972924e-02	4.471992445201929123e-02	2.138680588507744368e-02	1.527419669758219285e-06
1.010000000000000000e+02	3.180564253791326804e-03	3.999837155606299210e-02	1.999981800826469008e-02	4.471982163985650099e-02	2.138666394213713240e-02	1.636962050083270896e-06
1.030000000000000000e+02	3.408429041825954738e-03	3.999812987112189716e-02	1.999979099718353706e-02	4.471959339169082059e-02	2.138634882383906588e-02	1.880151700169432990e-06
1.040000000000000000e+02	3.528412068273516916e-03	3.999799589338893374e-02	1.999977602353215228e-02	4.471946686264282461e-02	2.138617413973871451e-02	2.014963576599433981e-06
1.060000000000000000e+02	3.781197676071747660e-03	3.999769845636547139e-02	1.999974278106574077e-02	4.471918596212515890e-02	2.138578633597984502e-02	2.314252464228680213e-06
1.070000000000000000e+02	3.914302850098935402e-03	3.999753357273441029e-02	1.999972435302778753e-02	4.471903024551302647e-02	2.138557135972321555e-02	2.480162687685104654e-06
1.090000000000000000e+02	4.194734785463210408e-03	3.999716752362836303e-02	1.999968344158978631e-02	4.471868454770323853e-02	2.138509410781825465e-02	2.848490913810317763e-06
1.100000000000000000e+02	4.342397233039089338e-03	3.999696460532112252e-02	1.999966076223268913e-02	4.471849291114024516e-02	2.138482954757244675e-02	3.052672667867793372e-06
1.120000000000000000e+02	4.653499083564237304e-03	3.999651411827458841e-02	1.999961041257284494e-02	4.471806747018514105e-02	2.138424222058088464e-02	3.505964677109568007e-06
1.130000000000000000e+02	4.817310885648241371e-03	3.999626439247944837e-02	1.999958250110340716e-02	4.471783162868657457e-02	2.138391664265950481e-02	3.757245427472747656e-06
1.150000000000000000e+02	5.162436918724501271e-03	3.999570999201925575e-02	1.999952053578389621e-02	4.471730805210607368e-02	2.138319385936583716e-02	4.315098034037021959e-06
1.160000000000000000e+02	5.344164276915691972e-03	3.999540266289725726e-02	1.999948618512610576e-02	4.471701781018428551e-02	2.138279319500072106e-02	4.624340888702303829e-06
1.180000000000000000e+02	5.727035605086487104e-03	3.999472038266944224e-02	1.999940992433877490e-02	4.471637346442190047e-02	2.138190372531394157e-02	5.310869796756663389e-06
1.190000000000000000e+02	5.928637884623187693e-03	3.999434216507097295e-02	1.999936764892173632e-02	4.471601627575416682e-02	2.138141066409730839e-02	5.691442703087145132e-06
1.210000000000000000e+02	6.353382586228696095e-03	3.999350251285019309e-02	1.999927379456963722e-02	4.471522330879624391e-02	2.138031608305585723e-02	6.536323967407692851e-06
1.220000000000000000e+02	6.577033441658134902e-03	3.999303705867753717e-02	1.999922176606532681e-02	4.471478373452136140e-02	2.137970932714262570e-02	7.004676937188396770e-06
1.240000000000000000e+02	7.048231069341224890e-03	3.999200374314024198e-02	1.999910625908990838e-02	4.471380787356084990e-02	2.137836236010730306e-02	8.044428157043049578e-06
1.250000000000000000e+02	7.296341880633994137e-03	3.999143093570067808e-02	1.999904222731832548e-02	4.471326691592752284e-02	2.137761570741036551e-02	8.620803331296351439e-06
1.270000000000000000e+02	7.819072837594538694e-03	3.999015930027498278e-02	1.999890007209380663e-02	4.471206598844391922e-02	2.137595819607859826e-02	9.900359612112132480e-06
1.280000000000000000e+02	8.094318709389454816e-03	3.998945438633808719e-02	1.999882126766963641e-02	4.471140027121953131e-02	2.137503941354361101e-02	1.060966464497982686e-05
1.300000000000000000e+02	8.674219025756647189e-03	3.998788948296792128e-02	1.999864631585726582e-02	4.470992238607452568e-02	2.137299981663518672e-02	1.218431691933870183e-05
1.310000000000000000e+02	8.979567630057274513e-03	3.998702200533987144e-02	1.999854933036003882e-02	4.470910314661186852e-02	2.137186925598002357e-02	1.305719910632485751e-05
1.330000000000000000e+02	9.622889729972898890e-03	3.998509622571907313e-02	1.999833401485509587e-02	4.470728445734234446e-02	2.136935957924997881e-02	1.499497778810715888e-05
1.340000000000000000e+02	9.961633303274559231e-03	3.998402871069848402e-02	1.999821465332839859e-02	4.470627630723184032e-02	2.136796847698712795e-02	1.606914486845008932e-05
1.360000000000000000e+02	1.067531341787170476e-02	3.998165887383305084e-02	1.999794966076411107e-02	4.470403826208554920e-02	2.136488050394844823e-02	1.845375063651031057e-05
1.370000000000000000e+02	1.105110425770866080e-02	3.998034521758210558e-02	1.999780276014663516e-02	4.470279766357770912e-02	2.136316889471739228e-02	1.977559459938946280e-05
1.390000000000000000e+02	1.184283721082528794e-02	3.997742898969282310e-02	1.999747662774643484e-02	4.470004362529411690e-02	2.135936956134152492e-02	2.271000110802481937e-05
1.400000000000000000e+02	1.225972705445816692e-02	3.997581247494576273e-02	1.999729583335460234e-02	4.469851701878631983e-02	2.135726371816059482e-02	2.433659403084546742e-05
1.420000000000000000e+02	1.313804922741741363e-02	3.997222396985755655e-02	1.999689445262874468e-02	4.469512811085822601e-02	2.135258944102074938e-02	2.794747540324881964e-05
1.430000000000000000e+02	1.360053293723760721e-02	3.997023482901989472e-02	1.999667194298200210e-02	4.469324961425649723e-02	2.134999873758117173e-02	2.994902182601858314e-05
1.450000000000000000e+02	1.457491430721227776e-02	3.996581920326788134e-02	1.999617794870005988e-02	4.468907961845235838e-02	2.134424846450555524e-02	3.439219194343784750e-05
1.460000000000000000e+02	1.508797833387491918e-02	3.996337162527893727e-02	1.999590409672388422e-02	4.468676820162237329e-02	2.134106153261816283e-02	3.685504109885169008e-05
1.480000000000000000e+02	1.616892457818401921e-02	3.995793844099432973e-02	1.999529611457873113e-02	4.468163729278482738e-02	2.133398823702233049e-02	4.232213316647648853e-05
1.490000000000000000e+02	1.673810072399386367e-02	3.995492689668575514e-02	1.999495907043553206e-02	4.467879330899498375e-02	2.133006826634982825e-02	4.535247719316686004e-05
1.510000000000000000e+02	1.793726649120912231e-02	3.994824197552582223e-02	1.999421079062077555e-02	4.467248036627179814e-02	2.132136855020894811e-02	5.207914223962119830e-05
1.520000000000000000e+02	1.856869155343036926e-02	3.994453670887812557e-02	1.999379596797882727e-02	4.466898129682474183e-02	2.131654754712591221e-02	5.580755404866832945e-05
1.540000000000000000e+02	1.989900612256985390e-02	3.993631214028812992e-02	1.999287500424784536e-02	4.466121447410496825e-02	2.130584895250575012e-02	6.408351746855093568e-05
1.550000000000000000e+02	2.059948805972803068e-02	3.993175364015397188e-02	1.999236444754558598e-02	4.465690971150415578e-02	2.129992074017784259e-02	6.867051503357975411e-05
1.570000000000000000e+02	2.207529474238080491e-02	3.992163553541506343e-02	1.999123093185377342e-02	4.464735488238045363e-02	2.128676629541225232e-02	7.885190271872360545e-05
1.580000000000000000e+02	2.285238607695463595e-02	3.991602776308468548e-02	1.999060253685395333e-02	4.464205934060187786e-02	2.127947799822230840e-02	8.449476609304935751e-05
1.600000000000000000e+02	2.448959686535595245e-02	3.990358126118627446e-02	1.998920738796325022e-02	4.463030595309762372e-02	2.126330744330506839e-02	9.701919788104931559e-05
